Configuration,Accuracy,Precision,Recall,F1 Score
"config=4,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.92311743,0.927492301,0.915847938,0.920365741
"config=6,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.857142857,0.90625,0.8125,0.832891247
"config=4,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.812270582,0.810104473,0.800549268,0.804120014
"config=4,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.80674039,0.843600687,0.778921048,0.787308059
"config=1,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=2,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=6,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=8,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=8,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.761904762,0.775,0.711538462,0.721485411
"config=9,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.761904762,0.775,0.711538462,0.721485411
"config=9,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.761904762,0.775,0.711538462,0.721485411
"config=11,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.761904762,0.861111111,0.6875,0.692082111
"config=7,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.75,0.75,0.728571429,0.733333333
"config=3,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=3,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=3,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=5,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=5,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=7,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=7,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=7,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=7,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.714285714,0.697115385,0.697115385,0.697115385
